======================================================================
BLACKJACK STRATEGY COMPARISON
Testing 1000000 games per strategy
  12         45.08%                 -68959.50 units         -6.90%
  13         45.69%                 -57275.50 units         -5.73%
  14         46.00%                 -50780.50 units         -5.08%
  15         45.94%                 -51193.50 units         -5.12%
  16         45.60%                 -56858.00 units         -5.69%
  17         43.88%                 -89520.50 units         -8.95%
  18         39.22%                -178553.50 units        -17.86%
  19         31.25%                -333751.00 units        -33.38%
  20         16.31%                -643076.00 units        -64.31%

============================ 8 DECK GAME =============================
Hit<=i      Win Rate                         Profit            ROI
----------------------------------------------------------------------
  2          40.42%                -159587.50 units        -15.96%
  3          40.47%                -158657.50 units        -15.87%
  4          40.41%                -160044.00 units        -16.00%
  5          40.40%                -159990.00 units        -16.00%
  6          40.48%                -158508.50 units        -15.85%
  7          40.45%                -158632.00 units        -15.86%
  8          40.86%                -150711.50 units        -15.07%
  9          41.43%                -139442.50 units        -13.94%
  10         42.85%                -111902.50 units        -11.19%
  11         44.48%                 -80860.00 units         -8.09%
  12         45.15%                 -67813.00 units         -6.78%
  13         45.62%                 -58480.00 units         -5.85%
  14         45.90%                 -52676.50 units         -5.27%
  15         45.90%                 -51875.00 units         -5.19%
  16         45.61%                 -56712.00 units         -5.67%
  17         43.90%                 -89256.00 units         -8.93%
  18         39.15%                -179994.50 units        -18.00%
  19         31.24%                -334055.50 units        -33.41%
  20         16.29%                -643643.00 units        -64.36%
